gestao_ter,uf,munic,cd_geocmu,num_setor,data_setor,local,tipolo_g1,tipolo_e1,cobrade_01,tipolo_g2,tipolo_e2,cobrade_02,tipolo_g3,tipolo_e3,cobrade_03,tipolo_g4,tipolo_e4,cobrade_04,tipolo_g5,tipolo_e5,cobrade_05,descricao,obs_ocup,grau_vulne,grau_risco,num_edif,num_domi,num_pess,sug_interv,orgao_exec,st_area_sh,st_length_
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_070_CPRM,2022-03-22,"Rua Romeu Paliosa, Bairro Santa Rosa de Lima",Enxurrada,,1.2.2.0.0,Erosão,Erosão de margem fluvial,1.1.4.2.0,Inundação,,1.2.1.0.0,,,,,,,"Ocupação residencial na planície de inundação do arroio Feijó. Áreas de várzea naturalmente recebem aporte hídrico em períodos de cheias, expondo a população local a eventos de inundações. As margens do arroio Feijó neste ponto têm porç",,Alto,Muito alto,102.0,219.0,408.0,"1) Estudo para verificar a possibilidade de remoção das moradias de alta vulnerabilidade sobre o dique do arroio Feijó;
2) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inu",Serviço Geológico do Brasil,3.99750058687e-06,0.00980865520558
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_087_CPRM,2022-03-21,"Pedreira, Bairro Morro Santana",Queda,Queda de blocos,1.1.3.1.1,Deslizamento,Deslizamento em cunha,1.1.3.2.1,Deslizamento,Deslizamento planar,1.1.3.2.1,,,,,,,"Ocupação residencial em vertente declivosa do Morro Santana, próxima à pedreira homônima. As moradias estão situadas dentro da cava da pedreira, sujeitas a deslizamentos, corridas de massa e queda de blocos (Figuras 1 a 6). Observou-se campo de blo",,Alto,Alto,24.0,5.0,96.0,"1) Estudo de remoção e demolição de moradias com maior vulnerabilidade aos processos descritos. Importante, que a ação contemple o uso futuro das áreas desocupadas com fiscalização constante para a não ocupação por novas residências.
2) Moni",Serviço Geológico do Brasil,7.26045493278e-07,0.00449564449605
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_051_CPRM,2022-12-12,"Travessa das Camélias, Bairro Cel. Aparício Borges",Enxurrada,,1.2.2.0.0,Deslizamento,Deslizamento planar,1.1.3.2.1,,,,,,,,,,"Densa ocupação na base de encosta do Morro da Polícia, com alta declividade e adoção de padrão de corte e aterro para conformação dos lotes, estando sujeito a pequenos deslizamentos. Há a formação de um pequeno vale, para onde convergem alguma","Ocupação constituída de pequenas edificações residenciais, com baixo padrão construtivo e por vezes em situação irregular. Vias de difícil acesso com sistemas de drenagem pluvial e esgotamento sanitário precários.",Alto,Alto,212.0,173.0,848.0,"1) Monitoramento das condições de estabilidade da encosta, especialmente em períodos chuvosos e evacuação preventiva caso haja indícios de iminência de deslizamento;
2) Desenvolvimento de estudos geotécnicos e hidrológicos detalhados, por profis",Serviço Geológico do Brasil,4.80915153189e-06,0.0127283458746
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_102_CPRM,2022-05-24,"Rua Soldado José da Silva, Bairro Agronomia",Deslizamento,Deslizamento não especificado,1.1.3.2.1,Queda,Queda de blocos,1.1.3.1.1,,,,,,,,,,"Ocupação residencial no terço inferior de encosta de declividades média a alta, abaixo de torre de alta tensão, sujeita a deslizamentos e queda de blocos (Figuras 1 e 2). Para ocupação a população utiliza o método de execução de taludes de co",,Médio,Alto,9.0,3.0,36.0,"1) Monitoramento das condições de estabilidade da encosta/taludes, especialmente em períodos chuvosos e evacuação preventiva caso haja indícios de iminência de deslizamento e/ou queda de lascas/blocos;
2) Manter atualizado o Plano Municipal de Con",Serviço Geológico do Brasil,1.41125751152e-07,0.00243092867855
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_080_CPRM,2022-03-25,"Avenida Sarandi, Bairro Sarandi",Inundação,,1.2.1.0.0,Enxurrada,,1.2.2.0.0,,,,,,,,,,"Ocupação residencial e comercial nas margens do arroio Sarandi/arroio Passo das Pedras (figuras 1 e 2), afluente da bacia hidrográfica do rio Gravataí. O arroio encontra-se parcialmente canalizado e retificado, com galerias do tipo abertas e diversas",,Médio,Muito alto,146.0,129.0,584.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,4.93179274217e-06,0.0111694428057
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_109_CPRM,2022-05-25,"Beco 3, Rua Santa Isabel e Rua Men de Sá, Bairro Bom Jesus",Enxurrada,,1.2.2.0.0,Inundação,,1.2.1.0.0,Erosão,Erosão de margem fluvial,1.1.4.2.0,,,,,,,"Ocupação residencial nas margens do arroio Mende Sá (Figura 1), afluente do arroio Dilúvio. Áreas de várzea naturalmente recebem aporte hídrico em períodos de cheias, expondo a população local a inundações. No caso das margens do arroio Mende",,Alto,Muito alto,54.0,90.0,216.0,"1) Elaborar estudo censitário e socioambiental para um correto diagnóstico da população em área de risco e para embasar ações de remoção e realocação da população atingida;
2) Dar continuidade a ações relacionadas ao desenvolvimento de est",Serviço Geológico do Brasil,2.18718364138e-06,0.0178294688727
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_054_CPRM,2022-12-12,"Rua Tenente Castelo, Vila João Pessoa",Enxurrada,,1.2.2.0.0,,,,,,,,,,,,,"Pequeno canal de drenagem, afluente do Arroio Moinho, com edificações construídas às margens do canal (Figuras 1 e 2), com recorrentes eventos de enxurrada, condicionado pelas caracterísiticas geomorfológicas da região. Em função de diversas int","Edificações residenciais de pequeno porte, construídas ao nível do solo. Vias sem pavimentadas com precário sistema de drenagem e para esgotamento sanitário.
",Alto,Alto,119.0,65.0,476.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações, embasar intervenções ao longo das drenagens e embasar implantação de ações para mitigação dos riscos;
2)",Serviço Geológico do Brasil,1.87551850604e-06,0.00750448485879
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_018_CPRM,2022-04-14,"Ruas Wlanir Porto e Rua Nelson Dalmas, Vila dos Sargentos, Bairro Serraria",Inundação,,1.2.1.0.0,Deslizamento,Deslizamento planar,1.1.3.2.1,Queda,Queda de blocos,1.1.3.1.1,Queda,Queda de lascas,1.1.3.1.2,,,,"Ocupação urbana às margens do Lago Guaíba, atingida por recorrentes eventos de inundação lenta e gradual na porção plana, mais próxima ao Lago, e em encosta de morro adjacente (Figura 1) com taludes de corte e blocos e matacões (Figura 2). Houv","Pequenas residências, alta vulnerabilidade social. Infraestrutura precária.",Alto,Alto,92.0,47.0,368.0,"1) Continuidade dos estudos hidrológicos para avaliar padrão de recorrências de inundações;
2) Atualização do cadastro de áreas de risco e do Plano Municipal de Contingência, acionando quando necessário;
3) Implantação de sistema de monitoram",Serviço Geológico do Brasil,1.26838100314e-06,0.00710848038094
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_001_CPRM,2022-04-13,"Travessa do Espigão, Bairro Lami",Inundação,,1.2.1.0.0,,,,,,,,,,,,,"Ocupação urbana na planície de inundação de tributário do arroio Manecão (Figura 1), às margens do Lago Guaíba (Figura 2), atingida por eventos frequentes de inundação (praticamente todo ano). Há o represamento do arroio Manecão e de seus tr","Edificações residenciais de pequeno porte, frequentemente com aterro no lote. A infraestrutura urbana é precária.",Médio,Alto,345.0,333.0,1380.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,1.19153403858e-05,0.0143424100877
0.0,RS,CANOAS,4304606,RS_CANOAS_SR_015_SGB,2025-02-18,"Rua Gen. Sebastião Barreto, Bairro Niterói",Inundação,,1.2.1.0.0,,,,,,,,,,,,,"Ocupação na margem direita do Rio Gravataí, entre a Rua Dique e o Rio Gravataí, não protegida pela infraestrutura que compõe o Pôlder Niterói (Figuras 1 e 2). A inundação deste setor, condicionada pela dinâmica do Rio Gravataí, é recorrente","Ocupação heterogênea, residencial, comercial e industrial.",Alto,Muito alto,74.0,0.0,192.0,1) Desenvolvimento de estudos hidrológicos para avaliar o padrão de recorrência de inundações do Rio Gravataí; 2) Implantação de sistema de monitoramento hidrológico e de alerta de eventos críticos na Bacia Hidrográfica do Rio Gravataí e evac,Serviço Geológico do Brasil,1.47521092031e-05,0.0248826027553
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_079_CPRM,2022-03-25,"Rua Julio Stregue e Rua Osmar Gomes, Bairro Costa e Silva",Inundação,,1.2.1.0.0,Enxurrada,,1.2.2.0.0,,,,,,,,,,"Ocupação às margensdo arroio Passo das Pedras/arroio Sarandi afluente da bacia hidrográfica do rio Gravataí. Nas margens do arroio observou-se feições erosivas pontuais, muro de gabião e/ou de madeira como contenção paliativa das margens (Figur",,Alto,Alto,153.0,101.0,612.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,3.19185925416e-06,0.0139691162197
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_122_CPRM,2022-10-03,"Rua Soldado Abílio e Rua Chácara dos Bombeiros, Bairro Cel. Aparício Borges",Deslizamento,Deslizamento não especificado,1.1.3.2.1,Erosão,Ravina,1.1.4.3.2,,,,,,,,,,"Vetor de crescimento urbano em vertentes íngremes sem o devido aparato de infraestrutura necessário. As vertentes aqui vistoriadas apresentam sinais de instabilidade, colocando as casas neste setor a risco por possíveis eventos de deslizamentos (Figur",Casa de alvenaria e de madeira.,Alto,Alto,61.0,66.0,244.0,"1) Monitoramento das condições de estabilidade da encosta especialmente em períodos chuvosos e evacuação preventiva caso haja indícios de iminência de deslizamento;
2) Desenvolver estudos geotécnicos detalhados, por profissional habilitado, para",Serviço Geológico do Brasil,1.57403084649e-06,0.00612268594811
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_081_CPRM,2022-03-23,"Rua Rocco Aloise, Bairro Sarandi",Inundação,,1.2.1.0.0,Enxurrada,,1.2.2.0.0,,,,,,,,,,"Ocupação residencial nas margens do arroio Sarandi/arroio Passo das Pedras (figura 1), afluente da bacia hidrográfica do rio Gravataí. O arroio Sarandi possui uma planície de inundação urbanizada, e que apesar de obras paliativas em vários trecho",,Médio,Alto,11.0,12.0,44.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,3.56484811793e-07,0.00318163131497
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_067_CPRM,2022-03-22,"Rua Edmundo Artur Lamb, Bairro Rubem Berta",Erosão,Erosão de margem fluvial,1.1.4.2.0,Enxurrada,,1.2.2.0.0,Inundação,,1.2.1.0.0,,,,,,,"Ocupação residencial na margem esquerda do arroio Feijó (Figuras 1 a 4), afluente da Bacia Hidrográfica do rio Gravataí. Áreas de várzea (planície de inundação) naturalmente recebem aporte hídrico em períodos de grandes cheias, expondo a popu",,Alto,Alto,20.0,22.0,80.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,6.67572632441e-07,0.00750792448783
0.0,RS,ALVORADA,4300604,RS_ALVORAD_SR_002_SGB,2025-02-03,"Avenida Beira Rio, Bairro Americana",Inundação,,1.2.1.0.0,,,,,,,,,,,,,"Ocupação residencial na planície de inundação do Arroio Feijó (Figura 1) e do Rio Gravataí (Figura 2) sujeita a recorrentes eventos de inundação (últimos três grandes eventos ocorreram em julho de 2020 (Figura 3), novembro de 2023 e maio de 20",Método construtivo heterogêneo.,Alto,Muito alto,924.0,0.0,2495.0,1) Desenvolvimento de estudos hidrológicos para avaliar o padrão de recorrência de inundações do Rio Gravataí e afluentes; 2) Implantação de sistema de monitoramento hidrológico e de alerta de eventos críticos na Bacia Hidrográfica do Rio Grav,Serviço Geológico do Brasil,3.60046499859e-05,0.0330614483843
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_025_CPRM,2022-05-16,"Rua Piratininga, Bairro Lomba do Pinheiro",Inundação,,1.2.1.0.0,Enxurrada,,1.2.2.0.0,Erosão,Erosão de margem fluvial,1.1.4.2.0,,,,,,,"Restrita planície de inundação do Arroio Taquara, sujeita à inundação de alta energia/enxurrada (Figura 1). O arroio se encontra assoreado com vegetação, sedimentos e resíduos urbanos depositados no leito e às margens do canal (Figuras 2 e 3).","A ocupação é residencial, apresenta edificações de pequeno porte e com alta vulnerabilidade frente ao processo e alta vulnerabilidade social. A infraestrutura do setor é precária, com via de difícil acesso, ausência de sistemas para drenagem plu",Alto,Muito alto,46.0,10.0,184.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,5.91530036355e-07,0.00413925319034
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_002_CPRM,2022-04-13,"Rua A, Loteamento Jardim Floresta, Bairro Extrema",Inundação,,1.2.1.0.0,,,,,,,,,,,,,"Ocupação urbana na planície de inundação do arroio Manecão (Figuras 1 a 3), que cruza o setor, às margens do Lago Guaíba, atingida por eventos ocasionais de inundação. Há o represamento do arroio Manecão pelo Lago Guaíba (efeito de represame","Edificações residenciais de pequeno porte, frequentemente com aterro no lote. A infraestrutura urbana é precária.",Médio,Alto,503.0,389.0,2011.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,2.12628420496e-05,0.0223180377113
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_110_CPRM,2022-05-25,"Rua Pio X, Rua Alfredo Ferreira Rodrigues, Rua Y e Rua V, Bairro Bom Jesus",Enxurrada,,1.2.2.0.0,Inundação,,1.2.1.0.0,Erosão,Erosão de margem fluvial,1.1.4.2.0,,,,,,,"Ocupação residencial em margens de arroio, afluente do arroio Dilúvio. Áreas de várzea naturalmente recebem aporte hídrico em períodos de cheias, expondo a população local a inundações. No caso das margens do arroio devido a forma da bacia com",,Alto,Muito alto,127.0,62.0,508.0,"1) Elaborar estudo censitário e socioambiental para um correto diagnóstico da população em área de risco e para embasar ações de remoção e realocação da população atingida;
2) Dar continuidade a ações relacionadas ao desenvolvimento de est",Serviço Geológico do Brasil,1.89627319088e-06,0.0186642626195
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_034_CPRM,2022-07-11,"Avenida Presidente Vargas, Ilha da Pintada, Bairro Arquipélago",Inundação,,1.2.1.0.0,Alagamento,,1.2.3.0.0,,,,,,,,,,"Densa ocupação urbana em ilha fluvial no Delta do Jacuí (Figuras 1 e 2), atingida por eventos de inundação lenta e gradual do Rio Jacuí, Arroio da Pintada e Lago Guaíba decorrentes das chuvas intensas que ocorrem nas cabeceiras dos rios afluentes","Edificações residenciais de pequeno porte e média a alta vulnerabilidade frente aos processos. A infraestrutura do setor é heterogênea, intercalando-se trechos asfaltados com melhores condições sanitárias e outros trechos mais precários. As resi",Alto,Alto,2016.0,1415.0,8064.0,"1) Continuidade na ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações;
2) Atualização constante do cadastro das áreas de risco e do Plano Municipal de Contingência, acionando quando",Serviço Geológico do Brasil,4.47078345667e-05,0.0602113734921
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_142_CPRM,2022-12-13,"Acesso por Rua Irmã Nely, Comunidade Maria Degolada, Bairro Paternon",Queda,Queda de blocos,1.1.3.1.1,Queda,Queda de lascas,1.1.3.1.2,Deslizamento,Deslizamento não especificado,1.1.3.2.1,,,,,,,"Ocupação na crista e base de talude rochoso, originado pela atividade de mineração de granito (Figuras 1 e 2),  com taludes verticais a  subverticais. A rocha é fraturada favorecendo a percolação de águas pluviais e servidas e o processo de intem","Edificações precária, infraestrutura urbana para drenagem pluvial e esgotamento sanitário precária.",Alto,Alto,27.0,16.0,108.0,"1) Monitoramento das condições de estabilidade da encosta/taludes, blocos e matacões, especialmente em períodos chuvosos e evacuação preventiva caso haja indícios de iminência de deslizamento e/ou queda de lascas/blocos;
2) Desenvolvimento de est",Serviço Geológico do Brasil,1.80663371029e-07,0.00189180820643
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_076_CPRM,2022-05-23,"Avenida 10 de Maio e Rua P. Sete, Bairro Passo das Pedras",Inundação,,1.2.1.0.0,Enxurrada,,1.2.2.0.0,Erosão,Erosão de margem fluvial,1.1.4.2.0,,,,,,,"Ocupação residencial nas margens do arroio Passo das Pedras/arroio Sarandi afluente da bacia hidrográfica do rio Gravataí. Observou-se feições erosivas de margem fluvial, descarte inadequado de lixo e água servida (e esgoto) no leito do arroio (Fi",,Alto,Muito alto,478.0,416.0,1912.0,"1) Elaborar estudo censitário e socioambiental para um correto diagnóstico da população em área de risco e para embasar ações de remoção e realocação da população atingida;
2) Dar continuidade a ações relacionadas ao desenvolvimento de est",Serviço Geológico do Brasil,8.83016369432e-06,0.0224361895225
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_007_CPRM,2022-04-11,"Alameda C, Bairro Restinga",Enxurrada,,1.2.2.0.0,Erosão,Erosão de margem fluvial,1.1.4.2.0,Inundação,,1.2.1.0.0,,,,,,,"Ocupação urbana sobre a margem esquerda do arroio do Salso (Figuras 1 a 4), atingida por eventos de enxurrada e com risco de solapamento de margem por consequência de erosão fluvial. Um evento de enxurrada foi registrado nos últimos três anos. Veri",Edificações residenciais de pequeno porte.,Alto,Alto,65.0,28.0,260.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,2.05125853581e-06,0.0259957007235
